image,condition,repeat,semantic_shift
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,Nigeria,1,0.09170538187026978
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,Nigeria,2,0.0729554295539856
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,Nigeria,3,0.15970909595489502
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,India,1,0.17539501190185547
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,India,2,0.19622838497161865
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,India,3,0.09498715400695801
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,Saudi Arabia,1,0.13611918687820435
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,Saudi Arabia,2,0.1628115177154541
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,Saudi Arabia,3,0.1606864333152771
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,United Kingdom,1,0.1616259217262268
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,United Kingdom,2,0.13438212871551514
500px-Egypt_(Luxor)_Another_Egyptian_man_with_traditional_dress_named_jellabiya_(26321884786).jpg,United Kingdom,3,0.19532370567321777
